id,order_id,total_cost,created_on
216,629,80,2019-04-22
217,631,293,2019-06-16
218,633,493,2019-01-06
219,635,279,2019-11-08
220,636,865,2019-08-30
221,641,870,2019-10-15
222,644,864,2019-06-15
223,645,466,2019-09-28
224,647,335,2019-03-04
225,650,350,2019-06-28
226,652,322,2019-04-20
227,653,245,2019-02-23
228,657,88,2019-03-27
229,658,238,2019-04-18
230,664,767,2019-04-21
231,665,475,2019-08-23
232,669,21,2019-01-17
233,672,749,2019-05-27
234,675,278,2019-09-02
235,680,174,2018-12-12
236,681,340,2019-08-01
237,689,645,2019-05-30
238,692,545,2019-04-26
239,696,330,2019-06-03
240,697,86,2019-10-05
241,701,109,2019-03-20
242,713,893,2019-08-29
243,714,528,2019-06-02
244,727,900,2019-03-09
245,731,854,2019-08-13
246,732,919,2019-10-08
247,735,539,2019-09-18
248,741,775,2019-04-04
249,742,32,2019-10-29
250,743,359,2019-09-04
251,744,716,2019-08-16
252,745,378,2019-09-28
253,746,442,2019-01-20
254,750,173,2019-03-04
255,756,319,2019-08-19
256,758,836,2019-10-18
257,759,79,2019-06-20
258,761,636,2019-04-27
259,763,904,2019-03-24
260,767,976,2019-09-14
261,769,643,2019-08-19
262,770,631,2019-04-15
263,774,212,2018-12-20
264,779,392,2019-07-08
265,780,525,2019-05-24
266,785,187,2019-08-14
267,787,571,2019-11-27
268,789,602,2018-12-18
269,791,177,2019-03-09
270,793,63,2019-10-01
271,796,190,2019-07-09
272,797,876,2019-07-25
273,802,830,2019-03-02
274,805,197,2019-09-26
275,809,210,2019-09-08
276,813,339,2019-09-22
277,814,575,2019-05-08
278,820,515,2019-09-05
279,824,279,2019-04-21
280,834,974,2019-02-26
281,835,661,2019-11-25
282,839,135,2019-05-17
283,849,207,2019-04-08
284,850,493,2018-12-20
285,860,860,2019-11-29
286,861,345,2019-04-23
287,880,27,2018-12-04
288,883,47,2019-03-07
289,888,325,2019-05-26
290,891,173,2019-08-24
291,892,167,2019-02-14
292,893,578,2019-03-27
293,899,72,2019-04-12
294,901,793,2019-03-15
295,909,422,2019-10-20
296,911,757,2019-11-13
297,913,792,2019-09-11
298,914,935,2019-07-01
299,917,694,2019-07-07
300,919,347,2019-09-08
301,920,80,2019-11-27
302,921,431,2019-03-19
303,922,73,2019-08-25
304,926,528,2019-07-15
305,928,440,2019-08-10
306,929,627,2018-12-30
307,931,105,2019-10-27
308,932,484,2019-02-07
309,935,386,2019-09-18
310,938,404,2019-01-19
311,946,952,2019-11-17
312,952,252,2019-05-30
313,953,436,2019-02-22
314,954,881,2019-08-11
315,955,466,2019-07-22
316,960,486,2019-01-22
317,962,74,2019-02-15
318,967,984,2019-10-03
319,969,649,2019-09-21
320,973,535,2019-08-12
321,976,576,2019-04-20
322,978,393,2019-10-18
323,982,620,2019-11-25
324,985,980,2019-10-23
325,989,332,2019-09-08
326,995,293,2019-05-05
327,997,806,2019-01-13
328,1005,911,2019-09-02
329,1009,464,2019-11-24
330,1010,94,2018-12-27
331,1014,277,2019-06-04
332,1017,291,2019-10-10
333,1019,489,2019-06-10
334,1021,202,2019-04-20
335,1027,600,2018-12-16
336,1029,439,2018-12-22
337,1033,15,2019-06-24
338,1035,44,2019-12-01
339,1041,948,2019-03-09
340,1042,154,2019-03-17
341,1050,526,2019-04-04
342,1053,919,2019-08-24
343,1055,381,2019-08-19
344,1060,221,2019-05-16
345,1061,521,2018-12-17
346,1064,163,2019-05-19
347,1065,958,2019-02-23
348,1066,345,2019-11-05
349,1071,112,2018-12-21
350,1076,739,2019-08-23
351,1077,519,2019-07-30
352,1084,652,2019-02-13
353,1092,847,2019-09-20
354,1093,878,2018-12-18
355,1094,197,2019-03-08
356,1096,116,2019-09-16
357,1097,295,2019-07-01
358,1102,514,2019-01-31
359,1105,404,2019-10-09
360,1107,216,2019-07-09
361,1108,407,2018-12-19
362,1109,848,2019-07-20
363,1112,31,2019-08-13
364,1115,353,2018-12-05
365,1117,328,2019-07-03
366,1120,850,2019-04-27
367,1124,91,2019-09-22
368,1125,393,2019-08-26
369,1130,233,2019-08-26
370,1132,926,2019-09-19
371,1137,623,2019-09-18
372,1138,843,2018-12-22
373,1139,494,2019-11-28
374,1141,606,2019-05-19
375,1146,669,2018-12-09
376,1147,972,2019-03-30
377,1151,931,2019-01-27
378,1154,215,2019-03-11
379,1156,314,2019-06-25
380,1157,841,2019-01-17
381,1160,475,2019-05-23
382,1169,345,2019-04-27
383,1170,950,2019-02-24
384,1173,471,2019-02-20
385,1174,905,2019-05-03
386,1175,32,2019-08-17
387,1177,370,2019-02-10
388,1179,71,2019-11-22
389,1180,111,2019-07-19
390,1181,618,2019-06-19
391,1185,162,2019-10-14
392,1186,883,2019-02-23
393,1187,153,2019-02-12
394,1194,864,2019-02-01
395,1196,393,2019-04-28
396,1199,718,2019-10-01
397,1200,960,2019-10-23
398,1201,220,2019-06-11
399,1203,471,2019-07-04
400,1205,774,2018-12-10
401,1207,552,2019-01-07
402,1208,842,2019-09-20
403,1216,867,2019-07-02
404,1220,736,2018-12-29
405,1229,189,2019-01-21
406,1233,167,2019-02-10
407,1234,997,2019-07-12
408,1235,315,2019-02-01
409,1236,845,2019-01-13
410,1240,961,2019-01-17
411,1244,658,2018-12-22
412,1245,505,2019-07-25
413,1246,774,2019-06-03
414,1247,172,2018-12-24
415,1249,525,2019-06-02
416,1250,769,2019-05-27
417,1253,449,2019-06-14
418,1256,69,2019-08-04
419,1257,344,2019-11-16
420,1259,22,2018-12-15
421,1261,708,2019-09-04
422,1264,450,2019-04-12
423,1266,811,2019-05-24
424,1267,536,2019-08-11
425,1269,751,2019-03-01
426,1272,400,2018-12-20
427,1278,107,2019-09-16
428,1280,130,2019-03-04
429,1286,612,2019-08-24
430,1290,54,2019-11-29
431,1293,538,2019-10-21
432,1299,106,2019-07-05
433,1310,860,2019-01-21
434,1327,434,2019-11-26
435,1334,332,2019-10-30
436,1340,30,2019-09-03
437,1342,685,2019-10-03
438,1350,871,2019-06-11
439,1358,500,2019-03-29
440,1359,34,2019-01-12
441,1363,900,2019-09-18
442,1364,995,2019-09-08
443,1366,745,2019-06-10
444,1368,575,2019-02-07
445,1372,873,2019-10-23
446,1376,902,2019-07-30
447,1379,162,2019-02-14
448,1382,603,2019-11-12
449,1384,861,2019-10-07
450,1386,986,2019-08-12
451,1389,546,2019-01-23
452,1393,161,2018-12-24
453,1394,756,2019-09-30
454,1396,264,2019-11-04
455,1397,920,2019-04-02
456,1398,380,2018-12-22
457,1408,247,2019-03-27
458,1409,807,2019-09-21
459,1416,787,2019-08-07
460,1426,295,2019-04-24
461,1427,243,2019-02-22
462,1428,734,2019-04-08
463,1432,292,2019-08-28
464,1436,13,2019-07-05
465,1437,336,2019-06-03
466,1447,943,2019-06-03
467,1448,230,2019-07-15
468,1450,830,2019-05-27
469,1451,123,2019-10-03
470,1452,872,2019-02-08
471,1453,627,2019-10-03
472,1457,714,2019-08-22
473,1458,78,2019-09-28
474,1461,374,2019-07-10
475,1464,620,2018-12-01
476,1470,333,2019-03-31
477,1471,559,2019-02-20
478,1473,346,2019-05-04
479,1474,167,2019-02-25
480,1475,673,2019-10-14
481,1481,69,2019-01-01
482,1482,689,2019-06-18
483,1483,574,2019-06-25
484,1484,301,2019-09-09
485,1490,745,2019-04-05
486,1492,669,2019-07-29
487,1493,92,2019-11-23
488,1498,214,2019-08-14
489,1499,125,2019-09-16
490,1500,615,2019-10-23
491,1501,121,2019-06-29
492,1503,616,2019-01-19
493,1505,707,2019-03-04
494,1508,400,2019-01-27
495,1509,464,2019-07-05
496,1510,407,2019-10-09
497,1516,655,2019-04-03
498,1517,814,2019-07-17
499,1520,207,2019-03-24
500,1521,270,2019-03-15
501,1524,735,2018-12-05
502,1529,910,2019-01-31
503,1530,519,2019-11-25
504,1537,862,2019-10-06
505,1539,15,2018-12-08
506,1543,734,2018-12-28
507,1545,4,2019-02-13
508,1549,12,2019-01-07
509,1552,131,2019-04-02
510,1555,716,2019-08-23
511,1556,971,2019-05-29
512,1557,605,2019-03-21
513,1559,594,2019-11-17
514,1566,202,2019-01-12
515,1568,294,2019-03-15
516,1569,72,2019-10-07
517,1573,779,2018-12-22
518,1577,701,2018-12-11
519,1581,670,2019-01-22
520,1585,945,2019-08-11
521,1587,522,2019-04-29
522,1589,541,2019-04-02
523,1593,963,2019-08-26
524,1594,828,2019-04-01
525,1602,649,2019-02-15
526,1609,60,2019-02-05
527,1618,204,2019-06-16
528,1619,630,2019-09-29
529,1620,181,2019-06-25
530,1621,553,2018-12-17
531,1622,529,2019-02-19
532,1624,872,2019-03-27
533,1628,844,2019-08-15
534,1631,428,2019-10-06
535,1632,421,2019-10-25
536,1637,860,2019-11-08
537,1649,979,2019-08-29
538,1650,964,2019-06-25
539,1651,511,2019-05-10
540,1654,566,2019-03-18
541,1656,0,2019-01-22
542,1658,910,2019-09-21
543,1660,7,2019-04-26
544,1664,571,2019-07-22
545,1670,405,2019-01-06
546,1672,825,2019-08-25
547,1673,50,2019-09-18
548,1677,755,2019-03-26
549,1679,884,2019-08-27
550,1681,878,2018-12-31
551,1687,9,2019-01-19
552,1690,525,2019-01-09
553,1691,218,2019-01-03
554,1693,341,2019-01-03
555,1695,933,2019-10-02
556,1696,82,2019-08-05
557,1700,143,2018-12-15
558,1703,804,2019-08-04
559,1704,280,2018-12-29
560,1709,555,2019-08-08
561,1710,428,2018-12-20
562,1712,334,2019-08-14
563,1714,67,2019-07-01
564,1715,322,2019-06-06
565,1718,254,2018-12-06
566,1723,35,2019-09-25
567,1726,4,2019-07-22
568,1727,200,2019-01-01
569,1731,772,2019-06-15
570,1732,913,2019-11-21
571,1737,994,2019-10-15
572,1738,996,2019-01-19
573,1744,314,2019-09-13
574,1746,732,2018-12-31
575,1766,885,2018-12-28
576,1770,604,2019-02-24
577,1771,507,2019-09-29
578,1772,899,2019-06-10
579,1778,302,2019-08-02
580,1780,302,2019-03-31
581,1781,927,2019-11-22
582,1782,457,2019-07-20
583,1784,843,2019-05-03
584,1785,655,2019-01-06
585,1788,373,2019-11-29
586,1792,348,2019-06-06
587,1798,737,2019-04-09
588,1799,402,2019-09-19
589,1800,650,2019-07-19
590,1802,244,2019-10-11
591,1803,818,2019-09-09
592,1805,138,2019-03-31
593,1807,252,2019-03-20
594,1808,433,2019-08-01
595,1811,846,2019-01-01
596,1817,867,2019-11-23
597,1821,19,2019-04-22
598,1822,472,2019-11-08
599,1825,937,2019-07-21
600,1826,982,2019-06-28
601,1830,835,2019-06-24
602,1832,153,2019-09-01
603,1835,633,2019-07-05
604,1836,6,2019-06-20
605,1842,734,2019-04-16
606,1844,843,2019-05-01
607,1845,610,2019-08-29
608,1847,940,2019-01-08
609,1852,226,2019-11-07
610,1855,492,2019-03-11
611,1865,683,2019-07-03
612,1868,74,2019-09-03
613,1874,315,2019-03-15
614,1875,846,2019-06-29
615,1876,390,2019-08-03
616,1879,128,2019-07-29
617,1880,995,2019-06-17
618,1881,731,2019-04-26
619,1882,942,2019-05-15
620,1884,408,2019-10-21
621,1887,740,2019-09-07
622,1888,454,2019-09-11
623,1889,910,2019-04-20
624,1893,683,2019-11-28
625,1898,375,2018-12-17
626,1902,146,2019-03-10
627,1904,685,2019-06-18
628,1907,1000,2019-07-18
629,1912,288,2019-08-08
630,1917,133,2019-11-26
631,1918,504,2019-08-14
632,1919,387,2019-10-11
633,1922,570,2019-04-23
634,1924,764,2019-04-29
635,1926,592,2019-02-18
636,1930,715,2019-05-22
637,1936,647,2019-07-18
638,1938,371,2018-12-27
639,1942,810,2019-10-15
640,1943,866,2019-10-02
641,1944,126,2019-10-12
642,1947,216,2019-10-21
643,1951,452,2019-02-19
644,1952,195,2019-02-28
645,1953,928,2019-01-15
646,1955,868,2019-04-24
647,1956,696,2019-03-07
648,1958,340,2019-11-14
649,1959,993,2019-08-06
650,1961,760,2019-03-02
651,1966,576,2019-06-10
652,1967,551,2018-12-21
653,1970,363,2019-07-08
654,1971,937,2019-05-08
655,1974,657,2019-03-18
656,1976,497,2019-02-03
657,1978,787,2018-12-19
658,1979,605,2018-12-14
659,1980,979,2019-10-30
660,1983,318,2019-10-31
661,1985,636,2019-07-30
662,1988,132,2019-10-27
663,1991,626,2019-01-12
664,1992,173,2019-07-19
665,1995,628,2019-09-24
666,1997,147,2018-12-21
667,1999,100,2019-11-08
668,2000,62,2019-03-28
669,2002,195,2019-04-01
670,2004,22,2018-12-01
671,2006,554,2019-09-03
672,2009,346,2019-01-07
673,2012,165,2019-06-20
674,2014,390,2019-02-28
675,2015,141,2019-10-21
676,2017,922,2019-04-05
677,2019,656,2019-07-17
678,2023,308,2018-12-11
679,2024,955,2019-03-29
680,2029,777,2019-08-09
681,2032,972,2019-01-02
682,2034,612,2019-10-26
683,2039,669,2019-04-17
684,2041,977,2019-03-08
685,2042,150,2019-06-13
686,2050,805,2019-03-07
687,2054,515,2019-08-15
688,2055,258,2018-12-16
689,2056,305,2019-07-05
690,2060,929,2019-10-23
691,2061,884,2019-04-02
692,2062,485,2019-07-27
693,2064,883,2019-02-22
694,2066,337,2019-03-28
695,2069,230,2018-12-26
696,2073,282,2019-09-22
697,2076,844,2019-09-26
698,2080,14,2019-07-31
699,2083,563,2019-02-07
700,2084,405,2019-10-26
701,2085,220,2018-12-17
702,2086,122,2019-02-02
703,2087,822,2019-10-01
704,2096,108,2019-02-19
705,2099,907,2019-05-30
706,2101,867,2019-09-23
707,2102,760,2019-02-25
708,2103,353,2019-10-22
709,2106,894,2019-04-16
710,2107,461,2019-08-22
711,2108,424,2019-11-11
712,2109,726,2019-11-03
713,2113,691,2019-11-23
714,2118,687,2019-05-29
715,2124,51,2019-06-18
716,2125,217,2019-01-05
717,2128,161,2019-01-19
718,2132,90,2019-06-12
719,2134,308,2019-06-01
720,2141,883,2019-06-25
721,2146,530,2019-10-06
722,2147,254,2019-01-11
723,2150,645,2019-01-28
724,2152,945,2019-06-15
725,2153,708,2019-06-16
726,2159,650,2019-10-10
727,2161,203,2019-11-23
728,2162,305,2019-10-30
729,2163,204,2018-12-04
730,2164,153,2019-07-06
731,2172,262,2019-02-11
732,2175,648,2019-02-27
733,2178,69,2019-05-26
734,2179,330,2019-04-06
735,2184,706,2019-04-06
736,2185,534,2019-01-22
737,2189,41,2019-09-07
738,2190,629,2019-04-24
739,2191,539,2019-03-14
740,2192,628,2019-04-19
741,2193,939,2019-09-13
742,2195,40,2019-05-17
743,2196,246,2019-07-05
744,2201,620,2018-12-15
745,2203,59,2019-04-04
746,2211,174,2019-03-11
747,2214,25,2019-11-15
748,2216,253,2019-09-05
749,2217,793,2019-04-15
750,2219,656,2019-07-14
751,2221,334,2019-04-18
752,2225,239,2019-09-29
753,2227,248,2019-06-10
754,2229,556,2019-10-08
755,2230,635,2019-10-01
756,2231,647,2019-08-15
757,2235,395,2019-08-19
758,2242,315,2019-02-06
759,2247,614,2019-08-27
760,2250,476,2019-02-18
761,2255,335,2019-04-24
762,2256,908,2019-08-10
763,2261,547,2019-05-19
764,2263,724,2018-12-10
765,2264,82,2019-10-06
766,2265,206,2019-11-29
767,2266,146,2019-04-11
768,2268,793,2019-03-16
769,2269,159,2019-02-10
770,2270,119,2019-10-06
771,2272,966,2018-12-28
772,2276,427,2019-08-05
773,2277,437,2019-09-02
774,2279,982,2019-08-16
775,2280,678,2019-01-27
776,2287,242,2019-01-29
777,2290,290,2019-05-19
778,2293,78,2019-11-19
779,2294,159,2019-01-15
780,2297,744,2019-03-21
781,2300,850,2019-05-10
782,2303,975,2019-02-21
783,2305,920,2019-10-15
784,2306,664,2019-07-28
785,2307,96,2019-10-03
786,2308,223,2019-09-05
787,2313,15,2019-07-11
788,2315,563,2019-01-23
789,2316,739,2018-12-11
790,2317,77,2019-06-25
791,2318,940,2018-12-25
792,2329,23,2019-02-26
793,2330,30,2019-04-18
794,2336,446,2019-06-21
795,2337,993,2019-04-04
796,2339,365,2019-04-02
797,2340,85,2019-01-17
798,2353,173,2019-08-27
799,2357,955,2019-01-19
800,2360,129,2019-06-06
801,2364,701,2018-12-05
802,2366,469,2018-12-09
803,2367,654,2019-08-16
804,2369,985,2019-10-30
805,2382,844,2019-08-29
806,2383,589,2019-06-09
807,2384,408,2019-06-26
808,2385,571,2019-04-18
809,2395,3,2019-11-03
810,2396,23,2019-03-28
811,2397,517,2019-03-30
812,2404,966,2019-09-12
813,2406,596,2019-04-28
814,2407,948,2019-03-17
815,2410,575,2019-05-11
816,2415,636,2019-10-09
817,2416,703,2019-08-30
818,2419,713,2019-05-16
819,2421,293,2019-06-30
820,2424,374,2019-01-24
821,2425,660,2019-03-27
822,2430,363,2019-05-20
823,2433,638,2018-12-04
824,2435,642,2019-07-31
825,2445,162,2019-07-22
826,2448,630,2019-01-03
827,2449,905,2018-12-12
828,2450,500,2019-03-09
829,2451,546,2019-10-13
830,2452,850,2019-01-04
831,2455,685,2019-09-11
832,2459,415,2019-08-26
833,2462,301,2019-11-12
834,2465,337,2019-04-16
835,2466,712,2019-07-26
836,2471,95,2019-07-13
837,2473,168,2018-12-28
838,2474,575,2019-09-29
839,2487,313,2019-11-24
840,2490,323,2019-03-19
841,2501,998,2019-03-19
842,2502,934,2019-05-31
843,2509,256,2019-06-24
844,2513,787,2019-03-18
845,2514,827,2019-09-19
846,2515,887,2019-06-19
847,2521,339,2019-07-07
848,2524,680,2018-12-30
849,2527,420,2019-05-27
850,2530,98,2019-10-17
851,2532,456,2019-09-23
852,2540,340,2018-12-25
853,2545,128,2019-09-22
854,2547,312,2019-03-07
855,2553,414,2019-10-31
856,2556,950,2018-12-05
857,2557,14,2019-01-13
858,2561,691,2019-06-07
859,2562,754,2019-08-06
860,2567,428,2019-10-09
861,2568,542,2019-10-15
862,2569,753,2019-04-22
863,2571,707,2019-10-05
864,2573,36,2019-01-11
865,2578,960,2019-03-22
866,2585,768,2019-11-30
867,2586,976,2019-11-11
868,2588,124,2019-10-18
869,2594,127,2019-08-04
870,2595,81,2019-09-27
871,2599,515,2019-10-22
872,2601,152,2019-02-12
873,2602,478,2019-10-13
874,2603,610,2019-11-02
875,2606,450,2019-06-27
876,2608,975,2019-05-05
877,2614,708,2019-10-08
878,2615,196,2019-03-17
879,2616,134,2019-05-02
880,2618,792,2019-04-25
881,2621,982,2019-01-28
882,2622,813,2019-11-28
883,2627,929,2019-04-11
884,2630,390,2019-07-19
885,2631,228,2019-10-15
886,2632,343,2019-01-12
887,2635,11,2018-12-06
888,2637,765,2019-03-19
889,2640,549,2019-05-11
890,2642,842,2018-12-14
891,2643,906,2019-07-08
892,2646,808,2019-05-18
893,2648,5,2019-04-05
894,2649,253,2019-01-04
895,2651,219,2019-10-31
896,2652,24,2019-05-10
897,2653,689,2018-12-25
898,2655,314,2019-03-09
899,2661,591,2019-11-24
900,2663,255,2019-04-06
901,2668,675,2019-09-12
902,2670,105,2019-03-13
903,2677,909,2019-10-12
904,2682,835,2019-07-10
905,2683,65,2019-01-31
906,2684,737,2019-04-07
907,2686,760,2019-06-03
908,2687,496,2019-11-18
909,2694,83,2019-05-01
910,2699,767,2019-11-18
911,2703,122,2019-05-16
912,2704,292,2019-03-02
913,2705,433,2019-07-06
914,2709,666,2019-10-11
915,2711,175,2019-05-29
916,2712,323,2019-06-10
917,2714,76,2019-01-05
918,2719,447,2019-06-03
919,2721,761,2019-06-20
920,2722,377,2019-01-31
921,2726,529,2019-05-23
922,2728,856,2019-01-31
923,2731,644,2018-12-30
924,2734,523,2019-01-26
925,2737,802,2019-04-14
926,2745,801,2019-07-31
927,2759,374,2019-04-01
928,2762,367,2019-05-11
929,2766,500,2019-05-12
930,2767,156,2019-10-04
931,2770,956,2019-10-05
932,2771,212,2019-02-12
933,2773,740,2019-03-30
934,2777,651,2019-09-23
935,2780,146,2019-07-25
936,2782,819,2019-06-24
937,2783,990,2019-11-14
938,2784,633,2019-07-08
939,2785,203,2019-07-12
940,2789,702,2019-11-29
941,2795,765,2019-09-03
942,2797,204,2019-07-03
943,2798,718,2019-09-12
944,2804,496,2019-07-21
945,2807,328,2019-08-02
946,2814,48,2019-02-04
947,2815,231,2019-07-21
948,2816,93,2019-09-27
949,2824,468,2018-12-04
950,2825,791,2019-04-18
951,2827,805,2019-10-18
952,2829,44,2019-05-27
953,2831,76,2018-12-19
954,2839,835,2019-08-25
955,2842,11,2019-02-03
956,2844,352,2019-08-10
957,2845,551,2019-10-17
958,2846,858,2018-12-28
959,2848,155,2018-12-11
960,2859,339,2019-06-05
961,2862,536,2019-03-09
962,2863,582,2018-12-06
963,2872,997,2019-08-04
964,2875,705,2019-05-24
965,2876,184,2019-06-10
966,2879,76,2019-09-18
967,2880,960,2018-12-05
968,2885,858,2018-12-23
969,2888,101,2019-08-04
970,2889,916,2019-05-05
971,2898,882,2019-09-12
972,2900,137,2019-11-10
973,2903,740,2019-03-30
974,2904,705,2019-06-29
975,2905,541,2019-05-03
976,2907,681,2019-09-04
977,2910,168,2019-02-05
978,2911,818,2019-07-22
979,2917,667,2019-06-21
980,2918,740,2019-04-05
981,2922,201,2019-08-03
982,2926,41,2019-11-05
983,2927,219,2019-05-02
984,2928,480,2019-05-03
985,2929,124,2019-09-14
986,2930,710,2019-11-05
987,2933,96,2019-10-27
988,2934,752,2019-06-03
989,2936,944,2019-11-07
990,2939,817,2019-09-10
991,2941,811,2019-10-24
992,2942,778,2019-02-06
993,2943,791,2019-03-01
994,2945,693,2019-04-24
995,2946,176,2019-02-11
996,2950,541,2019-04-19
997,2956,388,2019-02-10
998,2962,329,2019-01-27
999,2963,860,2018-12-12
1000,2969,677,2019-08-09
1001,2971,886,2019-04-29
1002,2972,468,2019-01-29
1003,2975,987,2019-04-18
1004,2977,836,2019-01-18
1005,2979,998,2019-06-18
1006,2986,739,2019-10-23
1007,2988,810,2019-09-03
1008,2989,327,2019-11-15
1009,2995,225,2019-05-07
1010,2996,176,2019-08-04
1011,3005,400,2019-05-07
1012,3007,336,2019-03-02
1013,3008,193,2019-09-24
1014,3011,609,2019-09-26
1015,3012,413,2019-11-13
1016,3015,578,2018-12-20
1017,3020,953,2019-02-21
1018,3025,455,2019-02-07
1019,3026,482,2019-08-30
